Canonical Pathways;e01=IOX.3/C;e02=T4IOX.3/T4;e03=T4IOX.3A5/T4A5;e04=IOX1/C;e05=T4IOX1/T4;e06=T4/C;e07=T4IOX.3/IOX.3;e08=T4IOX1/IOX1;e09=T4IOX.3/C;e10=T4IOX1/C;e11=T4A5/T4;e12=T4IOX.3A5/T4IOX.3;e13=T4IOX.3A5/T4;e14=T4A5/C;e15=T4IOX.3A5/IOX.3;e16=T4IOX.3A5/C
Interleukin-12 family signaling;0,00;0,00;0,22;0,00;2,98;0,43;0,66;0,27;0,35;0,00;1,52;0,00;0,74;0,56;0,00;0,00
Growth Hormone Signaling;0,00;0,39;0,39;0,00;2,58;0,81;0,59;0,54;0,59;0,75;1,52;0,90;1,23;0,00;0,29;0,77
Interferon Signaling;0,00;0,00;1,12;0,00;4,97;0,45;0,85;0,94;0,85;1,72;1,54;0,35;0,82;0,00;0,95;0,72
Role of JAK1, JAK2 and TYK2 in Interferon Signaling;0,00;0,00;0,48;0,00;4,21;0,84;1,06;0,85;1,06;1,26;1,95;0,36;0,63;0,00;0,00;0,00
ISGylation Signaling Pathway;0,00;0,00;0,67;0,42;3,88;0,55;0,99;0,63;0,62;0,67;1,36;0,88;1,18;0,28;0,32;0,43
Apelin Liver Signaling Pathway;1,66;0,00;0,00;2,19;0,00;0,79;1,00;1,16;0,99;2,13;2,39;1,49;1,18;2,04;0,00;0,62
Signaling by Retinoic Acid;0,00;1,39;0,23;0,75;2,06;1,01;0,80;0,59;0,80;1,16;1,39;2,02;1,77;2,27;1,62;0,52
Pyrimidine Deoxyribonucleotides De Novo Biosynthesis I;0,00;1,92;0,00;1,01;1,18;1,02;0,52;0,00;0,52;0,00;2,31;2,02;2,11;0,00;1,55;0,76
Interconversion of nucleotide di- and triphosphates;0,00;0,83;0,20;1,03;1,95;1,58;0,92;0,75;0,92;0,76;1,84;2,18;2,28;0,00;1,62;0,39
Branched-chain amino acid catabolism;0,00;0,91;0,25;0,00;2,27;2,02;1,79;1,03;1,23;1,06;1,74;2,34;3,88;1,48;0,21;2,37
YAP1- and WWTR1 (TAZ)-stimulated gene expression;0,00;0,00;0,00;0,00;0,00;1,75;2,22;0,84;1,55;0,47;2,17;3,07;2,43;1,63;2,22;1,91
Superoxide Radicals Degradation;0,00;0,00;0,51;0,00;0,55;1,33;1,20;1,06;1,99;1,81;1,96;2,88;2,96;2,17;0,46;1,96
NR1H2 and NR1H3-mediated signaling;0,00;0,52;0,00;0,70;1,28;1,40;1,12;1,43;0,83;2,24;0,79;0,36;0,78;0,72;1,87;1,44
TNFs bind their physiological receptors;0,00;0,00;0,00;0,00;0,00;1,06;1,26;1,02;1,71;1,44;1,22;0,66;0,47;1,96;1,82;1,48
CREB Signaling in Neurons;1,05;1,47;0,00;1,26;1,37;1,51;1,93;1,31;2,80;2,06;3,15;0,44;0,76;1,16;0,00;0,00
Phagosome Formation;0,35;0,00;0,00;0,42;1,52;0,95;0,99;0,60;2,31;0,57;1,67;0,00;0,00;1,47;0,00;0,00
Cell surface interactions at the vascular wall;0,00;1,17;0,00;0,21;1,03;0,96;0,82;0,84;1,27;0,65;2,37;0,36;0,54;0,90;0,00;0,00
Th1 and Th2 Activation Pathway;0,00;1,42;0,00;0,27;1,91;1,24;1,52;0,78;1,51;1,52;2,31;0,69;0,82;1,64;0,39;0,52
Granulocyte Adhesion and Diapedesis;0,00;0,40;0,00;0,00;1,95;1,67;1,30;1,55;1,29;1,10;3,31;0,89;0,80;1,93;0,57;0,00
Agranulocyte Adhesion and Diapedesis;0,00;0,35;0,46;0,00;1,58;1,73;1,31;1,31;1,13;1,06;2,66;0,83;1,12;1,68;0,91;0,46
Caspase activation via Death Receptors in the presence of ligand;0,00;0,00;0,00;0,00;0,31;1,06;1,44;4,07;0,92;1,25;1,40;0,68;0,72;0,64;0,24;0,00
Choline catabolism;0,00;0,00;0,00;0,00;0,00;1,03;0,94;2,79;1,83;1,69;0,92;0,57;0,59;0,00;0,00;0,00
Role of BRCA1 in DNA Damage Response;0,00;0,00;0,54;0,00;0,38;0,81;0,77;3,00;0,99;1,40;0,39;0,94;0,67;0,00;0,00;0,41
Insertion of tail-anchored proteins into the endoplasmic reticulum membrane;0,00;0,00;0,00;0,00;0,22;0,68;0,92;2,78;0,92;2,82;0,54;0,56;0,60;0,52;0,50;0,80
Peroxisomal lipid metabolism;0,00;0,83;0,00;0,00;0,22;0,68;0,56;2,15;0,29;2,19;0,89;0,56;1,29;0,00;0,00;0,00
Pre-NOTCH Expression and Processing;0,00;0,00;0,35;0,00;0,42;0,51;0,90;1,54;0,68;2,61;0,84;0,92;0,65;0,00;0,00;0,00
Ketolysis;0,00;0,00;0,00;0,00;0,47;1,07;0,95;2,16;0,46;3,08;0,93;0,90;0,94;0,00;0,00;0,32
Receptor-type tyrosine-protein phosphatases;0,00;0,87;0,00;1,07;0,71;1,78;1,56;3,14;1,56;2,49;2,09;1,47;1,54;0,00;0,56;0,44
Mitotic Roles of Polo-Like Kinase;0,00;1,07;0,74;0,00;0,86;1,93;1,88;3,27;1,54;2,92;1,79;1,98;1,53;0,00;0,00;0,00
TRAIL signaling;0,00;0,00;0,00;0,00;0,55;1,33;1,99;5,17;1,20;2,73;1,96;1,23;1,28;0,00;0,00;0,00
Neurotransmitter clearance;0,00;0,00;0,43;0,00;0,47;1,77;2,41;3,05;1,60;2,18;1,57;0,90;0,51;0,00;0,00;0,32
dTMP De Novo Biosynthesis;0,00;0,00;0,00;0,00;0,72;1,97;1,83;4,29;1,83;1,69;1,80;1,22;1,26;0,00;0,00;0,00
Zymosterol Biosynthesis;0,00;0,00;0,00;0,00;0,00;1,70;1,57;3,57;1,57;2,38;2,54;0,99;1,03;0,00;0,00;0,00
Calcium Signaling;0,00;1,12;0,72;0,20;1,72;2,34;1,60;1,55;2,45;3,23;2,77;1,32;1,38;0,00;0,34;0,64
Fc Epsilon RI Signaling;0,00;0,00;0,00;0,00;1,24;0,82;0,54;1,90;2,63;1,98;1,18;1,68;1,06;0,00;0,00;0,86
Epoxysqualene Biosynthesis;0,00;0,00;0,00;0,00;0,00;1,93;1,83;1,72;1,83;1,73;1,81;0,44;0,45;0,00;0,00;0,00
Histidine Degradation III;0,00;0,00;0,00;0,00;0,55;1,33;1,99;1,79;1,20;1,81;1,18;0,30;0,71;0,00;0,00;0,00
Putrescine Biosynthesis III;0,00;0,00;1,06;0,00;0,00;1,93;1,83;1,72;1,83;1,73;1,81;0,44;0,45;0,00;0,00;0,91
MIF Regulation of Innate Immunity;0,00;0,00;0,87;0,00;0,98;2,70;1,45;1,47;1,84;2,33;2,21;1,04;0,63;0,29;0,40;0,27
MIF-mediated Glucocorticoid Regulation;0,00;0,00;1,12;0,00;0,74;2,40;1,20;1,67;1,59;2,17;1,54;0,53;0,58;0,35;0,25;0,40
Ketogenesis;0,00;0,00;0,00;0,00;0,43;1,61;1,45;1,95;0,85;2,80;2,14;1,28;1,98;0,00;0,00;0,82
Dopamine-DARPP32 Feedback in cAMP Signaling;0,00;0,82;0,49;0,00;1,09;1,33;1,02;1,65;1,01;2,94;1,87;1,12;1,46;0,00;0,00;0,29
tRNA Splicing;0,00;0,00;0,00;0,00;0,25;1,25;1,33;1,70;2,12;2,60;1,27;1,18;1,27;0,00;0,00;0,00
Cardiac β-adrenergic Signaling;0,00;0,85;0,00;0,00;0,00;0,77;1,16;1,45;1,54;2,96;1,24;2,04;1,05;0,00;0,00;0,00
Myogenesis;0,00;0,72;0,00;0,00;1,53;2,00;1,26;2,38;2,23;2,43;1,66;1,28;1,01;0,43;0,00;0,26
Glycine Biosynthesis I;0,00;0,00;0,00;0,00;1,10;1,93;1,83;1,72;1,83;1,73;1,81;1,39;1,41;0,00;0,00;0,00
Carnitine metabolism;0,00;0,00;0,00;0,00;0,96;1,25;1,69;1,46;1,68;2,14;2,34;1,34;1,98;0,00;0,28;0,00
Calcium Transport I;0,00;0,00;0,00;0,00;0,47;1,77;1,60;2,16;2,40;2,18;2,36;2,17;0,94;0,00;0,00;0,00
Phenylalanine Degradation IV (Mammalian, via Side Chain);0,00;0,00;0,32;0,00;0,96;2,65;2,39;2,11;2,39;2,14;2,34;1,91;1,40;0,00;0,00;0,00
Neurotransmitter uptake and metabolism In glial cells;0,00;0,00;0,00;0,00;0,00;2,33;2,19;2,02;2,18;2,04;2,16;1,55;1,59;0,00;0,00;0,00
Ion channel transport;0,00;0,00;0,00;0,71;0,00;3,53;1,89;0,61;2,36;2,55;2,73;1,71;1,10;0,76;0,00;0,74
Estrogen-mediated S-phase Entry;0,00;0,76;0,48;0,00;0,00;1,25;3,95;2,20;2,59;1,72;1,45;2,59;1,27;0,00;0,00;0,31
FOXO-mediated transcription of cell cycle genes;0,00;0,93;0,27;0,00;0,29;2,90;3,38;1,13;1,91;1,15;2,54;2,55;1,47;0,62;0,23;0,00
Complement System;0,00;0,63;0,30;0,00;1,20;2,85;3,00;0,88;3,58;0,91;1,09;1,26;1,03;0,35;0,24;0,38
Transcriptional regulation of granulopoiesis;0,00;0,00;0,71;0,00;0,00;0,74;3,10;1,37;1,76;1,41;1,33;0,87;0,38;0,70;0,00;0,66
Neurexins and neuroligins;1,34;0,00;0,00;0,00;1,08;2,59;2,15;1,67;1,40;0,61;1,68;1,01;0,87;0,00;0,00;0,00
NFE2L2 regulates pentose phosphate pathway genes;0,00;0,00;0,51;0,00;1,40;3,20;1,99;1,06;1,99;1,08;2,92;1,23;2,02;0,91;1,22;1,06
PD-1, PD-L1 cancer immunotherapy pathway;0,00;0,00;0,26;0,00;0,80;1,34;2,93;1,15;2,25;1,00;2,45;0,69;0,65;0,59;0,70;0,27
Role of JAK2 in Hormone-like Cytokine Signaling;0,00;0,00;0,00;0,62;1,39;1,84;2,20;1,10;2,19;1,14;2,94;0,76;1,31;0,58;0,67;0,00
Oleate Biosynthesis II (Animals);0,00;0,00;0,00;0,00;0,43;2,40;3,07;1,27;2,19;0,74;2,14;0,78;0,82;1,89;0,97;0,82
β-alanine Degradation I;0,00;0,00;0,00;0,00;0,00;1,93;1,83;1,72;1,83;0,59;1,81;1,39;1,41;1,50;0,00;0,91
NFE2L2 regulating anti-oxidant/detoxification enzymes;0,00;0,00;0,68;0,00;0,26;2,57;2,29;1,42;2,28;1,45;2,23;1,61;1,68;1,43;0,00;0,00
Integration of energy metabolism;0,00;2,17;0,00;0,43;0,61;1,55;2,25;0,00;1,64;0,36;2,13;2,50;1,88;0,00;0,56;0,32
Signaling by Hippo;0,00;0,00;0,65;0,00;0,00;1,24;2,15;0,00;1,06;0,00;1,52;3,21;2,65;0,00;0,00;0,89
RAB geranylgeranylation;0,00;0,42;0,25;0,00;0,00;0,79;1,65;0,00;2,38;0,40;1,57;2,50;2,31;0,00;0,94;0,00
Signaling by NTRK2 (TRKB);0,00;0,00;0,00;0,00;0,00;1,33;1,59;0,59;2,12;1,35;1,54;2,22;2,32;0,48;0,00;0,68
Resolution of Abasic Sites (AP sites);0,00;0,00;0,61;0,00;0,00;1,74;1,88;0,83;2,35;0,86;2,28;2,30;1,61;0,00;0,00;0,66
Biotin-carboxyl Carrier Protein Assembly;0,00;0,00;0,00;0,00;0,00;1,48;2,75;0,44;1,39;1,29;2,72;0,97;2,12;0,00;0,00;0,00
Phenylethylamine Degradation I;0,00;0,00;0,00;0,00;0,00;1,22;2,19;2,02;1,12;1,03;2,16;1,55;1,59;0,00;0,00;0,64
Fatty acyl-CoA biosynthesis;0,00;0,00;0,46;0,00;0,00;1,66;2,46;0,50;0,99;1,18;3,68;1,93;0,84;0,00;0,39;0,00
γ-linolenate Biosynthesis II (Animals);0,00;0,00;0,23;0,00;0,74;1,90;2,29;0,58;1,14;0,59;2,92;2,14;1,68;0,58;0,20;0,47
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell;0,00;0,99;0,00;0,00;0,72;2,62;1,77;0,63;1,45;1,10;3,19;1,96;1,30;0,47;0,27;0,29
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells;0,00;1,97;0,00;0,00;0,68;2,10;1,58;0,56;1,57;1,55;2,61;1,36;0,81;0,00;0,00;0,00
Phospholipases;0,00;0,40;0,00;0,00;0,51;2,61;1,77;1,05;2,50;1,36;2,81;1,28;0,93;0,00;0,00;0,84
cAMP-mediated signaling;0,00;0,61;0,00;0,00;0,30;1,65;1,21;1,14;2,36;1,73;2,89;1,37;1,31;0,28;0,00;0,00
Cardiomyocyte Differentiation via BMP Receptors;0,00;0,00;0,92;0,00;0,00;2,20;1,00;1,59;1,41;1,18;1,85;2,98;2,02;0,00;0,00;0,62
EGR2 and SOX10-mediated initiation of Schwann cell myelination;0,00;0,00;1,40;0,00;0,00;2,00;2,23;1,41;1,26;1,44;2,16;2,12;2,23;0,00;0,35;0,56
Cardiac conduction;0,00;0,62;0,27;0,00;0,00;2,50;2,16;0,89;3,08;1,56;2,31;2,05;2,02;0,00;0,88;0,52
Interleukin-7 signaling;0,00;0,85;1,18;0,00;0,00;1,68;1,46;1,22;2,01;1,75;2,59;2,36;2,46;0,00;1,04;0,84
Cellular Effects of Sildenafil (Viagra);0,00;1,02;1,42;0,00;0,57;2,24;1,87;1,42;2,12;2,20;2,83;1,66;1,87;0,00;0,44;1,28
Synaptic Long Term Depression;0,00;0,38;0,40;0,00;0,94;2,34;1,43;1,29;2,29;1,96;2,63;1,99;1,87;0,00;0,36;0,73
Xenobiotic Metabolism CAR Signaling Pathway;0,00;0,00;0,78;0,24;0,57;0,98;1,35;2,23;1,16;0,84;2,28;2,61;1,50;0,69;1,12;1,18
Dopamine Degradation;0,00;0,00;0,37;0,00;0,00;1,28;1,47;2,56;1,46;1,21;3,56;2,66;1,44;1,03;0,65;0,85
Tryptophan Degradation X (Mammalian, via Tryptamine);0,00;0,00;0,00;0,00;0,00;1,66;1,42;1,16;1,90;1,62;2,39;2,98;1,57;1,16;0,39;0,29
Fatty Acid α-oxidation;0,00;0,00;0,21;0,00;0,00;1,68;1,46;1,72;2,01;1,75;2,59;2,36;1,41;0,54;0,53;1,40
Ethanol Degradation II;0,00;0,00;0,00;0,00;0,00;1,51;1,26;1,76;1,67;1,38;2,59;2,24;1,92;0,96;0,99;0,75
Noradrenaline and Adrenaline Degradation;0,00;0,00;0,30;0,00;0,00;1,38;1,14;1,59;1,52;1,25;1,89;1,99;1,34;0,92;0,92;0,69
MyD88-independent TLR4 cascade;0,00;0,00;1,08;0,82;0,35;1,00;1,14;4,90;0,81;2,07;0,31;2,43;1,03;0,35;1,40;0,69
Toll Like Receptor 3 (TLR3) Cascade;0,00;0,00;1,27;0,87;0,85;0,90;1,07;4,43;0,73;2,61;0,44;3,20;1,44;0,00;1,10;0,48
Toll-like Receptor Signaling;0,00;0,00;1,62;0,00;2,35;0,87;0,83;3,59;0,46;2,85;1,54;2,67;1,62;0,00;0,67;0,66
4-1BB Signaling in T Lymphocytes;0,00;0,00;2,43;0,00;1,93;0,80;0,96;3,44;0,95;2,92;1,27;3,99;2,04;0,00;0,60;0,44
TWEAK Signaling;0,00;0,00;1,08;0,00;1,20;2,31;2,46;4,23;1,96;3,10;2,38;2,43;1,03;0,35;0,00;0,00
CD27 Signaling in Lymphocytes;0,00;0,00;0,95;0,00;2,08;1,39;1,76;4,91;1,75;2,94;1,68;3,40;1,66;0,00;0,47;0,00
B Cell Activating Factor Signaling;0,00;0,57;1,37;0,76;2,11;1,83;1,52;3,38;1,15;2,92;2,79;2,54;1,51;0,00;0,42;0,00
April Mediated Signaling;0,00;0,58;1,41;0,77;2,16;1,90;1,58;3,51;1,20;3,03;2,89;2,67;1,59;0,00;0,44;0,00
TNFR1 Signaling;0,00;0,00;1,11;0,00;0,81;1,35;1,08;4,02;1,07;3,06;2,52;3,29;1,83;0,00;0,31;0,00
IL-33 Signaling Pathway;0,00;0,41;0,33;0,00;0,84;1,51;1,35;3,04;1,16;3,17;3,11;2,32;1,42;0,00;0,59;0,00
Folate Polyglutamylation;0,00;0,00;0,00;0,00;1,81;1,97;3,01;2,79;1,83;2,81;1,80;2,15;1,26;0,00;0,00;0,00
Pyridoxal 5'-phosphate Salvage Pathway;0,00;0,00;0,48;0,00;2,31;2,45;2,39;2,60;2,80;1,91;1,57;3,27;1,39;0,00;0,62;0,00
Cancer Drug Resistance by Drug Efflux;0,00;0,46;0,31;0,64;2,62;1,70;2,08;2,35;2,93;2,02;1,62;2,46;1,59;0,00;0,00;0,52
Lymphotoxin β Receptor Signaling;0,00;0,00;0,32;0,00;1,08;1,39;1,41;2,86;1,75;1,39;1,04;2,97;1,66;0,00;0,00;0,00
Sphingolipid metabolism;0,00;0,00;0,45;0,00;0,00;1,62;1,23;2,86;2,11;2,58;1,42;2,24;2,43;0,39;0,00;0,00
IL-17A Signaling in Gastric Cells;0,00;0,00;0,00;0,00;1,05;2,31;1,06;2,79;1,50;2,84;2,52;3,82;2,71;0,46;0,41;0,00
ATM Signaling;0,00;0,00;1,09;0,00;0,94;1,67;2,76;3,41;2,08;1,31;2,62;4,51;2,07;0,00;0,00;0,00
DNA damage-induced 14-3-3σ Signaling;0,00;0,55;0,47;0,00;0,93;1,63;2,59;3,55;1,70;2,15;1,64;3,05;2,33;0,00;0,68;0,25
Induction of Apoptosis by HIV1;0,00;0,00;1,15;0,00;0,30;2,05;2,00;3,02;1,64;2,27;2,29;3,69;1,39;0,00;0,94;0,41
Retinoic acid Mediated Apoptosis Signaling;0,00;0,00;0,00;0,00;1,45;0,70;2,34;1,19;1,58;0,72;2,24;2,26;1,18;0,21;0,00;0,00
Tryptophan catabolism;0,00;0,00;0,37;0,00;1,08;0,87;2,81;1,76;2,00;1,79;1,28;2,38;1,75;0,75;0,91;0,27
Synthesis of Prostaglandins (PG) and Thromboxanes (TX);0,00;0,00;0,00;0,00;2,58;2,47;2,99;0,84;2,22;1,36;2,17;3,07;2,43;0,67;1,41;1,19
Mitochondrial biogenesis;0,00;0,00;0,26;0,00;1,81;1,09;2,46;0,57;2,06;1,63;1,02;1,91;2,06;0,56;0,38;0,97
Prostanoid Biosynthesis;0,00;0,00;0,00;0,00;2,18;1,77;2,41;0,82;1,60;0,84;1,57;2,17;1,52;0,82;1,04;1,67
Telomerase Signaling;0,00;0,00;0,91;0,00;2,74;0,86;1,15;1,57;2,52;0,78;1,53;2,56;2,50;0,00;0,00;0,26
IL-3 Signaling;0,00;0,00;0,52;0,00;3,35;0,58;0,74;1,57;0,95;1,35;1,69;1,55;2,28;0,00;0,91;0,86
CNTF Signaling;0,00;0,46;0,00;0,00;3,90;0,99;1,02;2,27;1,30;1,28;1,92;1,69;2,52;0,00;0,00;0,78
Signaling by ALK;0,00;0,73;0,44;0,00;2,29;1,12;0,94;1,08;1,80;1,11;2,86;1,38;2,92;0,44;0,76;0,59
Role of JAK1 and JAK3 in γc Cytokine Signaling;0,00;0,00;0,41;0,00;1,18;1,14;2,06;1,27;2,05;1,32;2,33;2,05;2,92;0,00;0,54;0,82
Glycogen Biosynthesis II (from UDP-D-Glucose);0,00;0,00;0,00;0,00;1,51;1,50;1,37;1,22;0,69;1,24;2,21;1,46;2,37;0,00;0,00;0,44
TREM1 Signaling;0,00;0,37;0,34;0,00;1,88;1,44;1,10;1,49;1,10;1,27;2,25;1,30;1,19;0,45;0,00;0,27
MSP-RON Signaling in Macrophages Pathway;0,00;0,00;0,75;0,00;2,40;0,48;1,03;1,60;1,02;2,21;2,15;0,75;1,39;0,23;0,00;0,45
UVB-Induced MAPK Signaling;0,00;0,00;1,47;0,00;2,21;1,20;0,94;1,87;1,24;2,33;1,87;1,47;1,59;0,00;0,84;0,35
Activation of NMDA receptors and postsynaptic events;0,00;0,34;0,75;0,00;1,67;2,46;1,95;0,95;1,09;0,99;1,55;4,33;3,39;0,00;0,85;0,80
Glycogen metabolism;0,00;0,00;1,04;0,00;1,14;1,41;2,24;1,41;1,20;1,94;2,18;3,62;3,09;0,00;0,45;0,72
Signaling by NOTCH3;0,00;0,00;0,41;0,00;1,28;1,40;1,46;1,11;1,45;2,68;2,61;2,97;3,15;0,72;1,38;1,03
Insulin Receptor Signaling;0,00;0,00;1,62;0,00;1,54;1,32;2,01;2,88;2,27;2,40;0,83;2,68;2,67;0,00;0,97;1,23
FLT3 Signaling in Hematopoietic Progenitor Cells;0,00;0,00;1,46;0,00;1,25;0,71;2,29;2,70;3,04;2,79;2,18;2,81;3,77;0,00;0,58;1,41
Oncostatin M Signaling;0,00;0,00;0,52;0,00;2,78;1,41;2,38;2,85;1,92;1,58;2,30;3,49;4,22;0,00;0,75;0,88
UVC-Induced MAPK Signaling;0,00;0,00;1,11;0,00;3,70;1,35;1,40;2,99;1,76;2,16;2,52;3,77;2,59;0,00;0,92;1,00
α-Adrenergic Signaling;0,00;0,73;0,44;0,00;2,30;1,34;1,67;2,16;1,66;2,25;2,78;3,94;2,87;0,00;0,31;0,60
CCR3 Signaling in Eosinophils;0,00;0,20;0,57;0,00;2,41;1,01;1,20;2,50;1,89;2,32;2,32;3,24;3,23;0,00;0,58;1,61
Thyroid Cancer Signaling;0,00;0,36;0,84;0,53;2,31;1,08;1,29;3,08;2,60;2,06;2,88;2,93;2,78;0,00;1,30;1,22
IL-7 Signaling Pathway;0,00;0,36;0,54;0,52;1,34;0,81;1,53;1,93;1,83;2,70;1,44;2,49;2,36;0,00;0,93;0,00
Antiproliferative Role of Somatostatin Receptor 2;0,00;0,36;0,55;0,00;1,81;0,84;1,29;3,08;2,23;2,06;1,79;2,58;2,12;0,00;0,42;0,64
EGF Signaling;0,00;0,00;0,31;0,00;2,04;1,03;1,36;1,96;2,48;2,02;2,39;2,10;2,63;0,00;0,75;0,52
ERB2-ERBB3 Signaling;0,00;0,00;0,45;0,00;2,23;0,00;0,73;2,44;1,54;1,47;0,69;2,66;2,85;0,00;1,25;1,23
ERBB4 Signaling;0,00;0,00;0,00;0,00;2,12;0,65;0,86;2,22;1,39;1,94;1,32;3,50;2,92;0,00;1,17;1,14
ERBB Signaling;0,00;0,00;0,00;0,00;2,26;0,84;0,76;2,67;1,71;2,76;1,62;3,17;3,06;0,00;1,26;0,84
Role of IL-17A in Psoriasis;0,00;0,00;0,00;0,00;0,35;2,65;1,69;2,11;1,09;1,49;1,65;2,59;2,68;1,68;0,28;0,22
Neurotransmitter release cycle;0,00;0,60;0,27;0,78;0,31;3,10;1,72;2,20;1,72;2,25;1,27;2,06;2,18;1,58;0,83;0,61
Isoleucine Degradation I;0,00;0,00;0,27;0,00;0,82;1,52;0,84;1,65;0,00;3,04;0,82;1,93;3,38;0,62;0,23;1,71
Valine Degradation I;0,00;0,00;0,00;0,00;1,33;1,78;1,06;2,45;1,06;2,49;1,52;1,97;3,33;1,39;0,00;0,89
Oxidative Stress Induced Senescence;0,00;0,33;1,82;0,00;0,56;1,10;2,18;2,22;1,27;3,42;1,75;2,97;1,40;0,00;1,13;0,52
Regulation of TP53 Activity through Phosphorylation;0,00;0,84;2,05;0,00;0,48;1,38;2,13;3,17;0,81;1,61;1,18;2,09;2,58;0,72;0,46;0,88
Cellular response to heat stress;0,00;0,00;1,52;0,00;1,34;0,79;1,63;3,25;0,70;1,98;1,04;2,37;2,58;0,00;0,90;1,07
Glutaryl-CoA Degradation;0,00;0,00;1,48;0,00;0,00;1,06;1,44;1,79;0,22;2,49;0,49;2,80;2,90;0,00;0,00;1,81
Tryptophan Degradation III (Eukaryotic);0,00;0,00;1,08;0,00;0,21;1,02;2,37;2,62;0,52;3,34;0,83;3,18;2,67;0,00;0,00;1,27
TAK1-dependent IKK and NF-kappa-B activation;0,00;0,00;1,87;0,00;0,57;0,71;1,10;2,28;1,10;1,51;0,33;2,42;1,77;0,00;0,40;0,00
DDX58/IFIH1-mediated induction of interferon-alpha/beta;0,00;0,00;2,05;0,53;0,98;0,31;0,30;3,08;0,44;1,18;0,40;2,26;1,83;0,00;0,96;0,25
Regulation of mRNA stability by proteins that bind AU-rich elements;0,00;0,00;2,49;0,00;0,57;0,47;1,45;1,13;0,55;1,51;1,39;2,42;1,42;0,00;0,00;0,52
Protein folding;0,00;0,80;2,83;0,00;0,67;0,30;0,87;1,33;0,52;0,59;0,00;1,76;1,23;0,33;0,00;0,37
FLT3 Signaling;0,00;0,00;1,12;0,00;0,00;1,44;1,60;1,67;2,05;1,31;1,15;3,06;3,21;0,35;0,55;1,62
Endometrial Cancer Signaling;0,00;0,00;0,52;0,00;1,39;0,65;1,17;2,05;2,60;1,14;1,11;3,64;2,99;0,00;0,40;0,71
Signaling by NTRK1 (TRKA);0,00;0,93;1,14;0,00;0,94;1,02;1,48;1,87;2,11;1,35;2,01;3,86;2,95;0,00;1,25;0,60
Cargo recognition for clathrin-mediated endocytosis;0,00;0,00;1,29;0,00;0,00;0,74;1,49;1,45;1,02;1,06;0,76;1,71;3,36;0,29;0,73;0,44
Agrin Interactions at Neuromuscular Junction;0,00;0,00;1,05;0,00;1,20;0,68;0,67;1,61;1,76;2,00;1,68;2,47;2,65;0,00;0,55;1,17
CSDE1 Signaling Pathway;0,00;0,00;0,97;0,00;0,39;0,00;1,15;1,40;1,14;1,45;1,74;2,29;2,45;0,00;0,80;0,56
HIPPO signaling;0,00;0,00;0,72;0,49;0,00;1,10;1,27;1,34;1,27;0,72;1,75;2,97;3,19;0,00;0,82;0,34
RAB GEFs exchange GTP for GDP on RABs;0,00;0,00;0,43;0,00;0,80;0,59;1,16;0,99;1,15;1,52;1,09;3,39;2,91;0,00;0,31;0,31
Signaling by Insulin receptor;0,00;0,00;0,52;0,00;1,01;0,75;0,84;0,41;0,84;0,91;1,10;3,49;3,16;0,00;0,75;0,88
Metabolism of cofactors;0,00;0,00;0,23;0,00;0,26;1,90;0,39;0,95;0,71;1,45;0,69;1,61;1,68;0,00;0,59;0,47
Peroxisomal protein import;0,00;0,43;0,82;0,00;0,32;1,13;0,64;1,98;0,30;2,42;0,81;1,99;2,88;0,00;0,65;0,44
Fatty Acid β-oxidation I;0,00;0,00;0,71;0,00;0,00;1,16;0,65;0,74;0,00;1,89;1,69;1,93;3,01;0,00;0,00;0,00
Mitotic Prophase;0,00;0,00;0,31;0,00;0,00;1,05;0,00;1,14;0,31;1,69;0,87;2,80;2,43;0,00;0,00;0,00
Signaling by Erythropoietin;0,00;0,00;0,51;0,00;1,75;1,33;1,13;0,91;1,13;0,60;1,54;2,22;1,82;0,00;0,87;1,16
SPINK1 General Cancer Pathway;0,00;0,00;0,40;0,00;1,59;0,62;0,83;1,81;1,34;1,27;1,01;1,41;1,54;0,00;0,52;1,11
IL-2 Signaling;0,00;0,00;0,26;0,00;1,33;0,26;1,08;1,58;2,06;1,05;1,02;1,91;2,06;0,00;0,64;0,67
WNK Renal Signaling Pathway;0,00;0,27;0,28;0,00;1,16;1,72;0,67;2,33;1,27;1,56;1,19;1,33;2,22;0,00;0,75;0,00
Role of p14/p19ARF in Tumor Suppression;0,00;0,00;0,76;0,00;0,85;1,73;1,47;2,04;1,06;1,62;1,41;2,18;1,84;0,00;0,65;0,85
Signaling by CSF1 (M-CSF) in myeloid cells;0,00;0,00;0,79;0,00;0,88;1,35;1,55;1,67;1,13;1,71;0,74;2,32;1,96;0,00;0,67;0,89
Role of CHK Proteins in Cell Cycle Checkpoint Control;0,00;0,46;0,58;0,00;0,37;1,03;1,36;2,77;0,57;0,80;0,75;2,85;1,90;0,00;0,00;0,52
D-myo-inositol-5-phosphate Metabolism;0,00;0,38;0,41;0,23;0,54;1,08;1,46;1,69;0,79;0,78;0,85;2,24;2,75;0,00;0,00;0,93
Superpathway of Inositol Phosphate Compounds;0,00;0,29;0,00;0,00;1,20;1,09;1,52;2,39;1,34;1,20;1,07;2,15;2,66;0,00;0,00;0,62
